178.137.164.15 - - [14/Sep/2016:02:57:32 -0700] "GET / HTTP/1.1" 200 38900 "http://allsilver925.co.il/" "Mozilla/3.0 (x86 [en] Windows NT 5.1; Sun)" "www.superior-dentistry.com"
178.137.164.15 - - [14/Sep/2016:02:57:33 -0700] "GET / HTTP/1.1" 200 38900 "http://allsilver925.co.il/" "Mozilla/3.0 (x86 [en] Windows NT 5.1; Sun)" "www.superior-dentistry.com"
46.119.116.190 - - [14/Sep/2016:03:27:27 -0700] "GET / HTTP/1.1" 200 38900 "http://alloysteel.ru/" "Opera/9.00 (Windows NT 4.0; U; en)" "www.superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:44 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:49 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
192.154.104.234 - - [14/Sep/2016:03:38:50 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36" "superior-dentistry.com"
68.180.230.115 - - [14/Sep/2016:03:46:22 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.superior-dentistry.com"
